periode_data,wilayah,kecamatan,kelurahan,jenis_kelamin,jumlah_penduduk,rasio_jenis_kelamin,jumlah_kepadatan
2023,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,12603,97.84,16088.25
2023,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,1833,97.14,1113.74
2023,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,7490,105.18,17786.26
2023,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,2203,89.48,3184.31
2023,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,5013,101.5,12517.23
2023,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,14154,102.01,28866.16
2023,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,15279,99.03,12689.3
2023,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,13207,98.67,21515.21
2023,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,21793,99.96,34828.99
2023,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,14006,97.06,13058.61
2023,JAKARTA PUSAT,SENEN,BUNGUR,Laki-Laki,11120,102.96,34733.99
2023,JAKARTA PUSAT,SENEN,KWITANG,Laki-Laki,9388,100.36,42306.51
2023,JAKARTA PUSAT,SENEN,KRAMAT,Laki-Laki,17968,103.47,48967.34
2023,JAKARTA PUSAT,SENEN,PASEBAN,Laki-Laki,14370,99.48,35146.24
2023,JAKARTA PUSAT,SENEN,KENARI,Laki-Laki,5816,103.12,12776.58
2023,JAKARTA PUSAT,SENEN,SENEN,Laki-Laki,4117,104.04,9640.39
2023,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,18504,103.05,67455.99
2023,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,13920,98.98,24573.27
2023,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,20047,99.05,41757.44
2023,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,11723,103.09,14196.85
2023,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,18316,99.14,45078.81
2023,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,14097,100.61,53334.36
2023,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,18813,98.77,39407.71
2023,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,12557,100.54,42331.27
2023,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,17254,103.09,26128.94
2023,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,9670,95.57,15693.58
2023,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,12840,95.22,50673.14
2023,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,15829,101.53,63137.15
2023,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,7095,95.87,8150.82
2023,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,12017,102.21,34971.17
2023,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,6011,101.47,15186.84
2023,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,9241,105.15,15833.35
2023,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,10512,99.64,18651.99
2023,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,8763,94.06,14420.59
2023,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,1466,100.27,1161.85
2023,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,PULAU PARI,Laki-Laki,1938,103.03,2272.67
2023,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,PULAU TIDUNG,Laki-Laki,3157,102.77,5976.06
2023,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,PULAU UNTUNG JAWA,Laki-Laki,1373,103.86,2081.74
2023,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,PULAU HARAPAN,Laki-Laki,1422,101.79,606.6
2023,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,PULAU KELAPA,Laki-Laki,3770,100.37,6586.91
2023,JAKARTA TIMUR,MAKASAR,PINANGRANTI,Laki-Laki,17976,99.06,15767.91
2023,JAKARTA TIMUR,MAKASAR,MAKASAR,Laki-Laki,21985,99.66,30184.58
2023,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,Laki-Laki,22901,99.4,20347.0
2023,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,Laki-Laki,18170,94.97,35485.81
2023,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,Laki-Laki,16338,94.85,25447.3
2023,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,Laki-Laki,46690,98.56,16447.95
2023,JAKARTA TIMUR,DUREN SAWIT,KLENDER,Laki-Laki,45248,101.33,29855.06
2023,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,Laki-Laki,39328,100.21,19329.43
2023,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,Laki-Laki,38486,97.91,16731.39
2023,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,Laki-Laki,38332,103.32,12285.93
2023,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,Laki-Laki,20280,100.47,9243.79
2023,JAKARTA TIMUR,CAKUNG,PULO GEBANG,Laki-Laki,64898,100.97,19490.16
2023,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,Laki-Laki,39701,102.27,8659.16
2023,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,Laki-Laki,67665,102.41,30292.87
2023,JAKARTA TIMUR,CAKUNG,RAWA TERATE,Laki-Laki,15986,107.17,7503.6
2023,JAKARTA TIMUR,CAKUNG,JATINEGARA,Laki-Laki,55049,104.0,16567.64
2023,JAKARTA TIMUR,PASAR REBO,PEKAYON,Laki-Laki,28540,101.62,19086.07
2023,JAKARTA TIMUR,PASAR REBO,KALISARI,Laki-Laki,28265,100.44,22009.38
2023,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,Laki-Laki,26285,99.27,21883.51
2023,JAKARTA TIMUR,PASAR REBO,BARU,Laki-Laki,15681,103.43,14825.38
2023,JAKARTA TIMUR,PASAR REBO,GEDONG,Laki-Laki,22660,99.6,18525.32
2023,JAKARTA TIMUR,KRAMAT JATI,CAWANG,Laki-Laki,20466,101.32,21558.23
2023,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,Laki-Laki,25845,101.43,28997.92
2023,JAKARTA TIMUR,KRAMAT JATI,BALEKAMBANG,Laki-Laki,19231,100.12,22759.97
2023,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,Laki-Laki,31039,99.05,24580.29
2023,JAKARTA TIMUR,KRAMAT JATI,DUKUH,Laki-Laki,15998,100.04,18545.4
2023,JAKARTA TIMUR,KRAMAT JATI,TENGAH,Laki-Laki,29101,101.53,29644.81
2023,JAKARTA TIMUR,KRAMAT JATI,KRAMATJATI,Laki-Laki,21466,100.58,28257.02
2023,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,Laki-Laki,30142,104.6,52116.28
2023,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,Laki-Laki,22922,101.06,26800.47
2023,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,Laki-Laki,34737,100.18,26018.88
2023,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,Laki-Laki,19585,98.72,24582.19
2023,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,Laki-Laki,13450,100.33,31846.14
2023,JAKARTA TIMUR,JATINEGARA,BALI MESTER,Laki-Laki,5595,98.82,16737.84
2023,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,Laki-Laki,22308,99.25,36009.68
2023,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,Laki-Laki,16840,104.02,68571.43
2023,JAKARTA TIMUR,PULO GADUNG,JATI,Laki-Laki,19471,95.93,19189.14
2023,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,Laki-Laki,24826,98.02,13064.74
2023,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,Laki-Laki,22615,96.48,17522.99
2023,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,Laki-Laki,15950,103.0,24266.62
2023,JAKARTA TIMUR,PULO GADUNG,CIPINANG,Laki-Laki,24091,99.94,32124.22
2023,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,Laki-Laki,25325,99.89,28099.32
2023,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,Laki-Laki,21477,100.95,24206.05
2023,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,Laki-Laki,20647,99.05,35604.93
2023,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,Laki-Laki,10036,101.31,25580.16
2023,JAKARTA TIMUR,MATRAMAN,PALMERIAM,Laki-Laki,11913,97.93,37051.03
2023,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,Laki-Laki,15216,97.05,56583.03
2023,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,Laki-Laki,17276,99.86,34745.3
2023,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,Laki-Laki,19811,100.6,54744.52
2023,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,Laki-Laki,26253,100.45,25620.68
2023,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,Laki-Laki,23596,98.84,22248.76
2023,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,Laki-Laki,34631,99.2,24777.52
2023,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,Laki-Laki,33707,98.96,14823.25
2023,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,Laki-Laki,17684,100.29,18248.13
2023,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,Laki-Laki,25858,98.81,12872.02
2023,JAKARTA UTARA,KOJA,LAGOA,Perempuan,38009,101.16,48610.19
2023,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Perempuan,21770,102.25,34894.25
